No,質問,期待回答,実際回答,スコア,判定
10,インターネットや回線の利用休止はできますか？,利用休止はできない。期間を指定した一時停止も不可。,"お問い合わせいただきありがとうございます。
インターネットや回線の利用休止についてですね。

お調べいたしましたが、あいにく、利用休止に関する情報が見つかりませんでした。
お力になれず、大変申し訳ございません。",0.0,×
11,短期間だけの利用はできますか？,"短期間の利用も可能。ただし契約は2年契約の自動更新。\n\n■解約金\n・更新月を含む2か月以外の解約は解約金が発生\n・定額制プラン：5,000円\n・電話のみプラン：2,200円\n\n工事費残債\n・工事費が分割中の場合、2年満了前の解約は残工事費を請求","はい、短期間でのご利用も可能でございます。

ただし、ご契約は2年間の自動更新となります。
契約の更新期間（満了月とその翌月の2ヶ月間）以外に解約される場合は、プランに応じて以下の解約金が発生いたしますのでご注意ください。

*   **定額制プラン**：5,000円
*   **電話のみプラン**：2,200円

また、工事費を分割でお支払い中で、2年未満で解約される場合は、残りの工事費を一括でご請求させていただきます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.903,〇
12,法人でも申込みはできますか？,個人・法人ともに、すべてのプランで申込み可能。,"お問い合わせいただきありがとうございます。

法人でのお申し込みについてですね。

お調べいたしましたが、あいにく法人でのお申し込みに関する情報が見つかりませんでした。
大変恐れ入りますが、詳細につきましては、担当窓口へ直接お問い合わせいただけますでしょうか。

お力になれず、申し訳ございません。",0.0,×
13,プロバイダー加入は必要ですか？,インターネット利用の場合は必須。\nスリム光はプロバイダー料金込みのため、別途契約は不要。\n※電話のみプランには含まれない。,"お問い合わせいただきありがとうございます。

恐れ入りますが、ご質問いただいたプロバイダー加入の要否につきまして、いただいた参考情報の中に関連する記載が見当たりませんでした。

一般的に、インターネットに接続するためには、回線のご契約とは別にプロバイダーとのご契約が必要となります。
ただし、サービスによってはプロバイダー契約が一体となっているプランもございますので、詳細につきましては、お手数ですが担当窓口へお問い合わせいただけますでしょうか。",0.0,×
14,転用番号はどのような方法で取得できますか？,インターネットまたは電話で取得できる。東日本・西日本で窓口が異なる。\n\n■インターネット\n・西日本：https://flets-w.com/collabo/tenyou/entry/ \n・東日本：https://flets.com/app4/input/index/ \n\n■電話\n・西日本：0120-553-104（9:00〜17:00）\n・東日本：0120-140-202（9:00〜17:00）\n※土日祝対応可(年末年始除く),"お問い合わせありがとうございます。

転用番号は、インターネットまたはお電話で取得いただけます。
NTT東日本エリアと西日本エリアで窓口が異なりますので、以下をご確認ください。

**■インターネットでの取得**
・西日本エリア： https://flets-w.com/collabo/tenyou/entry/
・東日本エリア： https://flets.com/app4/input/index/

**■お電話での取得**
・西日本エリア： 0120-553-104
・東日本エリア： 0120-140-202
（受付時間：9:00〜17:00 ※土日祝対応可、年末年始を除く）",0.789,〇
15,事業者変更番号がほしいです、どうすればいいですか？,当社より事業者変更番号を払い出しいたしますので、0120-36-3624までお問合せください。\n\n事業者変更時のトラブルの一例です。(実例)\n・事業者変更後、インターネットが繋がらなくなった。\n・聞いていた料金よりも高額になった。\n当社でできていたサポートが、変更先では受けれなくなった。\・何か事業者側に依頼をするときに、ガイダンスや手間がかかるようになった。\n・当社よりレンタルで提供していたサービスを返却しないといけなくなった。\n・解約金・事業者変更手数料が返金されない、または費用負担があるとは聞いていなかった。\n・事業者変更後、営業担当者と連絡が繋がらなくなった。\n\n事業者変更についてのご案内\n・発行までお時間が要します。\n・ご契約者以外の対応は致しかねます。\n・支払状況により発行致しかねる場合がございます。\n・成りすまし防止のため、期間を開けてご契約者様の固定電話(固定がない場合は、携帯電話)へご連絡し、ご説明後事業者変更番号を発行します。\n\n発行後は、郵送にてお手元に届きます。\n新しく変更される事業者様へご提出ください。,"お問い合わせいただきありがとうございます。
事業者変更承諾番号の発行についてですね。

事業者変更承諾番号の発行には、少々お時間をいただいております。
また、お手続きにはご契約者様ご本人であることの確認が必要となり、お支払い状況によっては発行できない場合もございます。

大変恐れ入りますが、詳細につきましては以下の窓口まで直接お問い合わせくださいますようお願いいたします。

■お問い合わせ窓口
**0120-36-3624**

ご不便をおかけいたしますが、どうぞよろしくお願いいたします。",0.83,〇
16,IPv6とは何ですか？,IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代の通信規格。\n\n■IPv6の特徴\n・IPアドレスが128ビットで、約340澗(かん)個のアドレスを利用可能\n・IPv4（約43憶個）に比べ、圧倒的に多くの端末を接続できる\n・IPoE方式を利用することで、回線混雑を避けやすい\n・IPv4に比べ、通信速度が向上する場合がある\n・IPSecが標準搭載されており、セキュリティが強化されている,"お問い合わせありがとうございます。

IPv6とは、現在主流で使われている「IPv4」に続く、次世代の通信規格（インターネットプロトコル）のことです。

主な特徴として、以下のような点が挙げられます。

*   **利用できるアドレス数が非常に多い**: IPv4に比べ、圧倒的に多くの機器をインターネットに接続できます。
*   **通信の安定化**: IPoE方式を利用することで、回線の混雑を避けやすくなります。
*   **速度の向上**: 通信環境によっては、通信速度が向上する場合があります。
*   **セキュリティの強化**: セキュリティ機能が標準で搭載されており、安全性が高まっています。

ご参考になりますと幸いです。",0.904,〇
17,支払い方法を変更したい,請求書払い・口座振替・クレジット支払いの3種類からお選び頂けます。\n\n請求書払い手数料 275円\nご利用頂いた月の翌月中旬頃に毎月お手元に届きます。\n\n口座振替手数料 110円\nご利用頂いた月の翌月27日に引落\n\nクレジット支払い手数料 0円\n\n明細発行手数料 220円となります。,"お問い合わせいただきありがとうございます。

お支払い方法の変更をご希望とのこと、承知いたしました。

申し訳ございませんが、お調べしたところ、チャットボットではお手続きに関する詳しい情報をご案内することができませんでした。

大変お手数をおかけしますが、お手続きの詳細につきましては、下記の窓口まで直接お問い合わせいただけますでしょうか。

**お問い合わせ先：0120-36-3624**",0.833,〇
18,電話回線の工事はしてもらえますか？,電話回線のみの工事でできます。\nスリムひかり電話ネクスト・スリムひかり電話ネクストAと2種類サービスがございます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクストA 3850円※1\n税込\n1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン 330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2200円の解約金がかかります。,"はい、電話回線のみの工事も承っております。

弊社では、以下の2種類のサービスをご用意しております。

*   **スリムひかり電話ネクスト**
    *   月額料金：2,750円（税込）
*   **スリムひかり電話ネクストA**
    *   月額料金：3,850円（税込）
    *   ナンバーディスプレイやボイスワープなどの便利なオプションが含まれております。

なお、ご契約期間は2年となり、契約期間の途中で解約される場合は2,200円の解約金が発生いたします。
ご不明な点がございましたら、お気軽にお尋ねください。",0.907,〇
19,インターネットの速度が遅い場合、どのような原因や対策がありますか？,通信速度が遅くなる原因は複数考えられる。以下を順に確認する。\n\n■まず試す対策\n・機器の再起動\n・Wi-Fiルーターの設置場所変更\n・Wi-Fiルーターの交換\n・中継器の導入\n\n■端末・機器側の原因\n・スマホやPCのストレージ、メモリ不足\n・OSやソフトウェアが未更新\n・端末やバッテリーの劣化、故障\n・古い機種を使用している\n\n■電波環境の問題\n・電子レンジやBluetooth機器との電波干渉\n・5GHz帯は直進性が高く、壁や床に弱い\n・Wi-Fi電波が届いていない場所で利用している\n\n■設定の問題\n・ルーターやネットワーク機器がループ接続されている\n\n■接続台数\n・同時接続台数が多いと通信速度が低下しやすい,"インターネットの速度が遅いとのこと、ご不便をおかけしております。

インターネットの速度が遅い場合、Wi-Fiルーターとご利用端末の環境が影響している可能性がございます。

まず、ルーターとご利用端末の間に壁などの障害物がないか、また距離が離れすぎていないかをご確認ください。

その上で、ご利用場所に応じて接続するWi-Fiの周波数を変更すると、通信が安定する場合がございます。

*   **ルーターから離れた場所や、壁を挟んだお部屋でご利用の場合**
    障害物に強い「2.4GHz」の周波数帯に接続をお試しください。

*   **ルーターの近くでご利用の場合**
    高速通信が可能な「5GHz」の周波数帯に接続することで、速度が改善されることがあります。",0.892,〇
