No,質問,期待回答,実際回答,スコア,判定
0,Wi-Fiの周波数・設定について,ご利用場所により、異なります。\n\n2.4GHzの利用\n通信距離が広く、障害物(壁や床など)に強い特徴があるため、ルーターとの距離が離れる場合(ルーターと離れた部屋、階数が違う部屋)でご利用の場合、おすすめします。\n\n5GHzの利用\n通信距離が狭く、障害物(壁や床など)に弱い特徴があるため、ルーターの近くで接続できる場合のご利用をおすすめします。,"お問い合わせありがとうございます。
Wi-Fiの周波数と設定についてですね。

Wi-Fiの周波数設定は、ご利用になる場所によって使い分けることをおすすめします。

**【2.4GHz】**
通信距離が広く、壁や床などの障害物に強いという特徴があります。
そのため、ルーターから離れた部屋や、階が異なる場所でご利用になる場合に適しています。

**【5GHz】**
通信速度が速いというメリットがありますが、障害物には弱く、通信距離が比較的短いという特徴があります。
こちらは、ルーターの近くで高速な通信を行いたい場合におすすめです。

もし通信が不安定に感じられる場合は、ご利用の場所に応じて周波数を切り替えてみてください。",0.893,〇
1,各種サービスの解約にかかる費用を教えて下さい。,ご利用のサービス、ご利用期間、申込時期により異なります。\n詳しくは、ご契約者様ご本人から0120-36-3624までお問い合せください。,"お問い合わせいただきありがとうございます。

ご質問いただいた解約費用についてお調べいたしましたが、あいにく、関連する情報を見つけることができませんでした。大変申し訳ございません。

解約にかかる費用は、ご契約いただいているサービス内容やご利用期間など、お客様のご契約状況によって異なる場合がございます。

誠に恐れ入りますが、詳細につきましては担当部署にてご案内させていただきますので、一度カスタマーサポートまでお問い合わせいただけますでしょうか。

お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.84,〇
2,パソコン・スマートフォンを買い替えました。手続きや、設定方法を教えてください。,回線側の設定は特に必要ありません。\n買い換えた端末側の設定が必要となります。\n下記、参考URLとなります。\n\nパソコン\n(Microsoft参考URL)\nhttps://support.microsoft.com/ja-jp/windows/windows-%E3%81%A7-wi-fi-%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AB%E6%8E%A5%E7%B6%9A%E3%81%99%E3%82%8B-1f881677-b569-0cd5-010d-e3cd3579d263 \n\nAndroid\n(Google参考URL)\nhttps://support.google.com/android/answer/9075847?hl=ja \n\niPhone\n(Apple参考URL)\nhttps://support.apple.com/ja-jp/111107,"お問い合わせいただきありがとうございます。
パソコンやスマートフォンを新しくされたのですね。

あいにく、お預かりしている情報の中には、端末の買い替えに関する具体的な手続きのご案内がございませんでした。
そのため、一般的な設定方法についてご案内いたします。

基本的には、これまでお使いいただいていたIDやパスワードで各社のサービスやアプリにログインすることで、新しい端末でも引き続きご利用いただけます。

**【特にご注意いただきたい点】**
スマートフォンの場合、業務で利用するアプリ（チャットツールや勤怠管理、認証アプリなど）は、新しい端末に再度インストールし、ログインし直す必要がございます。
特に、**多要素認証（MFA）**をご利用の場合、新しい端末での再設定が必須となりますのでご注意ください。

会社のシステムに関する詳しい設定方法や、資産登録など個別の手続きが必要な場合もございます。お手数ですが、詳細につきましては、情報システム部など担当部署にご確認いただけますと幸いです。

その他、ご不明な点がございましたらお気軽にお尋ねください。",0.324,×
3,スリム光の初期費用を教えてください。,契約料 880円 引込工事料金が22000円となります。\nひかり電話・スリムテレビがある場合、別途費用がかかります。,"お問い合わせいただきありがとうございます。

申し訳ございません。お調べいたしましたが、ご提供いただいた情報の中には、「スリム光」の初期費用に関する記載が見つかりませんでした。

初期費用はご契約のプランやキャンペーンの適用状況によって異なる場合がございます。
大変恐れ入りますが、詳細につきましてはご契約時の書類をご確認いただくか、担当部署までお問い合わせいただけますでしょうか。

ご不便をおかけいたしますが、何卒よろしくお願い申し上げます。",0.0,×
4,料金未納により、電話・インターネットが使えなくなったので、支払いをして利用を再開したい,未納分の料金をお支払い後、1時間程度でご利用を再開できます。\n平日 10時〜19時 土曜日 10時〜17時までにお問合せください。,"ご利用いただけず、ご不便をおかけしております。
料金未納によりサービスが停止している状況かと存じます。

未納となっている料金をお支払いいただくことで、サービスの利用を再開することが可能です。

お支払い方法やお手続きの詳細につきまして、お調べいたしましたが、あいにく関連する情報を見つけることができませんでした。
誠に恐れ入りますが、詳細につきましては担当部署にてご案内させていただきますので、お客様サポート窓口までお問い合わせいただけますでしょうか。

お手数をおかけし大変申し訳ございませんが、何卒よろしくお願い申し上げます。",0.828,〇
5,料金未納で、至急支払いをしたい。振込先の口座を教えて欲しい,0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。
料金のお支払いについて、ご心配をおかけしております。

お支払い期限が過ぎてしまった請求書につきましては、後日、自動的に再送されることになっております。

誠に恐れ入りますが、振込先の口座情報につきましては、現在こちらのチャットボットでは情報をご案内することができません。
お急ぎのところ大変申し訳ございませんが、再送される請求書をご確認いただくか、担当部署へ直接お問い合わせいただけますでしょうか。

お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.641,×
6,お引越し先でも使えるかどうかを知りたい,スリム光サービスはNTT東西のフレッツ光と同じ提供エリアとなります。\n下記、URLにて提供判断をすることができます。\n\nhttps://bb-fletsnavi.com/westlp/nttwest/index.html?vd=g1_5_2&gad_source=1&gad_campaignid=22613274467&gbraid=0AAAAA_yDh7HgPrwXQE2cYcWahoCyurNme&gclid=CjwKCAjwiY_GBhBEEiwAFaghvtjmVM4oU-xi7ssgbMYWBRYK9are89Qbfbe5Lxl9ClEqKatp88o05hoCSl0QAvD_BwE,"お問い合わせいただき、ありがとうございます。
お引越し先でサービスが継続してご利用いただけるか、ご心配でいらっしゃいますよね。

お引越し先で継続してご利用可能かどうかは、お引越し先の建物や設備の状況、また、ご住所がサービスの提供エリア内であるかによって異なります。

恐れ入りますが、詳しい状況を確認させていただきたく存じます。
お引越し先のご住所をご準備の上、下記窓口までお気軽にお問い合わせください。

**お問い合わせ窓口：0120-36-3624**

ご連絡を心よりお待ちしております。",0.613,×
7,固定IPについて教えてください,固定IPアドレスとは、インターネット接続時に常に同じIPアドレスを使用できるサービスです。\n当社では、月額1650円でご提供しております。(税込),"お問い合わせありがとうございます。

固定IPアドレスとは、インターネットに接続する際に、常に同じIPアドレスを利用できるサービスのことです。

当社では、月額1,650円（税込）でご提供しております。

その他にご不明な点がございましたら、お気軽にお尋ねください。",0.798,〇
8,光回線の工事はどのようにしますか？,ご利用場所や建物により変わりますが、おおよそは下記のような工程になります。\n宅内工事(標準工事の場合) 所要時間:約1〜2時間\n\n①光ファイバーケーブルの引き込み\n電柱から光ファイバーを宅内へ引き込みます。\n存在の電話線・エアコンダクト・配管などを活用することが多い。\n必要に応じて壁に小さな穴があることもある。\n\n②光コンセントの設置\n室内に「光コンセント」(光回線終端装置)を設置。\n設置場所は、基本的には電話配線付近やWi-Fiルーターの設置場所を考慮します。\n回線終端装置(ONU)の設置,"お問い合わせありがとうございます。
光回線の工事についてですね。

一般的な工事の流れをご説明します。

まず、専門の作業員がお客様のご自宅へお伺いし、電柱から光ファイバーケーブルを宅内に引き込みます。その際、多くは電話線の配管やエアコンのダクトなどを利用させていただきます。

その後、室内に光コンセントを設置し、ONU（光回線終端装置）という機器を接続して工事完了となります。

作業時間は建物の状況にもよりますが、通常1〜2時間程度です。
なお、工事にはお客様の立ち会いが必要となりますので、ご協力をお願いいたします。

より詳しい内容や日程の調整につきましては、お申し込み後に担当部署より改めてご連絡させていただきます。",0.921,〇
9,開通までどれくらい時間がかかりますか？(開通までの期間),概ね、お申込後から2週間〜2ケ月となります。\n※時期や地域により異なります。\n※春頃は引越しシーズンのため、通常よりもお日にちがかかります。,"お問い合わせありがとうございます。

光回線の開通までにかかる期間は、お申し込み後、概ね2週間から2ヶ月ほどでございます。

ただし、時期やお住まいの地域によって期間は変動いたします。特に、春頃は引越しシーズンで混み合いますため、通常よりもお時間がかかる場合がございますので、あらかじめご了承ください。",0.904,〇
